id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
5972,2026-08-22T01:27:00Z,budomierz,Budomierz,0,,60,,0,,2026-8-22,1
5970,2026-08-22T01:27:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-8-22,1
5968,2026-08-22T01:27:00Z,dorohusk,Dorohusk,960,,,,30,,2026-8-22,1
5971,2026-08-22T01:27:00Z,hrebenne,Hrebenne,1080,,0,,0,,2026-8-22,1
5973,2026-08-22T01:27:00Z,korczowa,Korczowa,60,,0,,0,,2026-8-22,1
5976,2026-08-22T01:27:00Z,kroscienko,Krościenko,60,,0,,0,,2026-8-22,1
5975,2026-08-22T01:27:00Z,malhowice,Małhowice,,,0,,0,,2026-8-22,1
5974,2026-08-22T01:27:00Z,medyka,Medyka,660,,60,,0,,2026-8-22,1
5969,2026-08-22T01:27:00Z,zosin,Zosin,180,,0,,0,,2026-8-22,1
5981,2026-08-22T03:45:00Z,budomierz,Budomierz,60,,0,,0,,2026-8-22,3
5979,2026-08-22T03:45:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-8-22,3
5977,2026-08-22T03:45:00Z,dorohusk,Dorohusk,1020,,,,120,,2026-8-22,3
5980,2026-08-22T03:45:00Z,hrebenne,Hrebenne,900,,0,,0,,2026-8-22,3
5982,2026-08-22T03:45:00Z,korczowa,Korczowa,60,,60,,120,,2026-8-22,3
5985,2026-08-22T03:45:00Z,kroscienko,Krościenko,60,,0,,0,,2026-8-22,3
5984,2026-08-22T03:45:00Z,malhowice,Małhowice,,,0,,0,,2026-8-22,3
5983,2026-08-22T03:45:00Z,medyka,Medyka,660,,60,,180,,2026-8-22,3
5978,2026-08-22T03:45:00Z,zosin,Zosin,120,,60,,60,,2026-8-22,3
5990,2026-08-22T06:47:00Z,budomierz,Budomierz,0,,0,,0,,2026-8-22,6
5988,2026-08-22T06:47:00Z,dolhobyczow,Dołhobyczów,240,,0,,0,,2026-8-22,6
5986,2026-08-22T06:47:00Z,dorohusk,Dorohusk,1380,,,,0,,2026-8-22,6
5989,2026-08-22T06:47:00Z,hrebenne,Hrebenne,1560,,0,,0,,2026-8-22,6
5991,2026-08-22T06:47:00Z,korczowa,Korczowa,180,,60,,60,,2026-8-22,6
5994,2026-08-22T06:47:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-22,6
5993,2026-08-22T06:47:00Z,malhowice,Małhowice,,,0,,0,,2026-8-22,6
5992,2026-08-22T06:47:00Z,medyka,Medyka,720,,60,,240,,2026-8-22,6
5987,2026-08-22T06:47:00Z,zosin,Zosin,,,,,,,2026-8-22,6
5999,2026-08-22T09:31:00Z,budomierz,Budomierz,0,,0,,0,,2026-8-22,9
5997,2026-08-22T09:31:00Z,dolhobyczow,Dołhobyczów,240,,0,,0,,2026-8-22,9
5995,2026-08-22T09:31:00Z,dorohusk,Dorohusk,1380,,,,0,,2026-8-22,9
5998,2026-08-22T09:31:00Z,hrebenne,Hrebenne,1560,,0,,0,,2026-8-22,9
6000,2026-08-22T09:31:00Z,korczowa,Korczowa,180,,60,,60,,2026-8-22,9
6003,2026-08-22T09:31:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-22,9
6002,2026-08-22T09:31:00Z,malhowice,Małhowice,,,0,,0,,2026-8-22,9
6001,2026-08-22T09:31:00Z,medyka,Medyka,720,,60,,240,,2026-8-22,9
5996,2026-08-22T09:31:00Z,zosin,Zosin,120,,0,,0,,2026-8-22,9
6008,2026-08-22T12:48:00Z,budomierz,Budomierz,0,,0,,0,,2026-8-22,12
6006,2026-08-22T12:48:00Z,dolhobyczow,Dołhobyczów,480,,0,,0,,2026-8-22,12
6004,2026-08-22T12:48:00Z,dorohusk,Dorohusk,1080,,,,0,,2026-8-22,12
6007,2026-08-22T12:48:00Z,hrebenne,Hrebenne,1140,,0,,0,,2026-8-22,12
6009,2026-08-22T12:48:00Z,korczowa,Korczowa,480,,60,,0,,2026-8-22,12
6012,2026-08-22T12:48:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-22,12
6011,2026-08-22T12:48:00Z,malhowice,Małhowice,,,0,,0,,2026-8-22,12
