id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
6259,2026-08-26T01:39:00Z,budomierz,Budomierz,60,,0,,30,,2026-8-26,1
6257,2026-08-26T01:39:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-8-26,1
6255,2026-08-26T01:39:00Z,dorohusk,Dorohusk,120,,,,60,,2026-8-26,1
6258,2026-08-26T01:39:00Z,hrebenne,Hrebenne,180,,0,,60,,2026-8-26,1
6260,2026-08-26T01:39:00Z,korczowa,Korczowa,60,,60,,180,,2026-8-26,1
6263,2026-08-26T01:39:00Z,kroscienko,Krościenko,60,,0,,0,,2026-8-26,1
6262,2026-08-26T01:39:00Z,malhowice,Małhowice,,,0,,0,,2026-8-26,1
6261,2026-08-26T01:39:00Z,medyka,Medyka,240,,0,,0,,2026-8-26,1
6256,2026-08-26T01:39:00Z,zosin,Zosin,120,,0,,0,,2026-8-26,1
6268,2026-08-26T03:56:00Z,budomierz,Budomierz,60,,0,,60,,2026-8-26,3
6266,2026-08-26T03:56:00Z,dolhobyczow,Dołhobyczów,120,,0,,0,,2026-8-26,3
6264,2026-08-26T03:56:00Z,dorohusk,Dorohusk,180,,,,120,,2026-8-26,3
6267,2026-08-26T03:56:00Z,hrebenne,Hrebenne,120,,0,,60,,2026-8-26,3
6269,2026-08-26T03:56:00Z,korczowa,Korczowa,0,,60,,240,,2026-8-26,3
6272,2026-08-26T03:56:00Z,kroscienko,Krościenko,60,,0,,0,,2026-8-26,3
6271,2026-08-26T03:56:00Z,malhowice,Małhowice,,,0,,0,,2026-8-26,3
6270,2026-08-26T03:56:00Z,medyka,Medyka,120,,0,,120,,2026-8-26,3
6265,2026-08-26T03:56:00Z,zosin,Zosin,120,,0,,0,,2026-8-26,3
6277,2026-08-26T06:56:00Z,budomierz,Budomierz,0,,0,,30,,2026-8-26,6
6275,2026-08-26T06:56:00Z,dolhobyczow,Dołhobyczów,,,,,,,2026-8-26,6
6273,2026-08-26T06:56:00Z,dorohusk,Dorohusk,300,,,,0,,2026-8-26,6
6276,2026-08-26T06:56:00Z,hrebenne,Hrebenne,180,,0,,0,,2026-8-26,6
6278,2026-08-26T06:56:00Z,korczowa,Korczowa,120,,0,,120,,2026-8-26,6
6281,2026-08-26T06:56:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-26,6
6280,2026-08-26T06:56:00Z,malhowice,Małhowice,,,0,,0,,2026-8-26,6
6279,2026-08-26T06:56:00Z,medyka,Medyka,0,,60,,120,,2026-8-26,6
6274,2026-08-26T06:56:00Z,zosin,Zosin,0,,0,,0,,2026-8-26,6
