id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
4526,2026-08-01T03:26:00Z,budomierz,Budomierz,120,,0,,60,,2026-8-1,3
4524,2026-08-01T03:26:00Z,dolhobyczow,Dołhobyczów,240,,0,,0,,2026-8-1,3
4522,2026-08-01T03:26:00Z,dorohusk,Dorohusk,1080,,,,180,,2026-8-1,3
4525,2026-08-01T03:26:00Z,hrebenne,Hrebenne,840,,0,,240,,2026-8-1,3
4527,2026-08-01T03:26:00Z,korczowa,Korczowa,840,,60,,60,,2026-8-1,3
4530,2026-08-01T03:26:00Z,kroscienko,Krościenko,0,,0,,0,,2026-8-1,3
4529,2026-08-01T03:26:00Z,malhowice,Małhowice,,,0,,0,,2026-8-1,3
4528,2026-08-01T03:26:00Z,medyka,Medyka,780,,60,,60,,2026-8-1,3
4523,2026-08-01T03:26:00Z,zosin,Zosin,180,,0,,0,,2026-8-1,3
