id,scraped_at,crossing_id,crossing_name,dpsu_name,trucks_waiting,cars_waiting,cars_per_hour,load_color,state,closure_flag,parse_miss_flag,character,category,location,lat,lng,camera_url,source_updated_kyiv,source_updated_utc,reading_age_seconds,state_of_busy_raw
3,2026-06-18T18:27:00Z,budomierz,Budomierz,Грушів - Будомєж,3,20,42,green,відкритий,0,0,"пасажирський, вантажний до 7,5 т (з 15.06.2022 по 14.12.2022), пасажирські автобуси, легкові автомобілі, пішохідний ((пропуск пішоходів не здійснюється))","міжнародний, цілодобовий","Львівська область, Яворівський район",50.096922,23.279205,,2026-06-18 20:49:28,2026-06-18T17:49:28Z,2252,Кількість легкових авто перед ППр: 20 <br> Швидкість оформлення легкових авто: 42 авто/год <br> Кількість вантажних авто перед ППр: 3
1,2026-06-18T18:27:00Z,dolhobyczow,Dołhobyczów,Угринів - Долгобичув,414,10,40,green,відкритий,0,0,"пасажирський, вантажний до 7,5 т (з 01.09.2022), легкові автомобілі, пішохідний (на вихід з України з метою евакуації) ((пропуск пішоходів не здійснюється))","міжнародний, цілодобовий","Львівська область, Яворівський район",50.578315,24.091082,,2026-06-18 20:48:52,2026-06-18T17:48:52Z,2288,Кількість легкових авто перед ППр: 10 <br> Швидкість оформлення легкових авто: 40 авто/год <br> Кількість вантажних авто перед ППр: 414
8,2026-06-18T18:27:00Z,dorohusk,Dorohusk,Ягодин - Дорогуськ,2071,,58,green,відкритий,0,0,"вантажний, лише вантажні понад 7.5 т та автобуси (пропуску пішоходів не здійснюється)","міжнародний, цілодобовий","Волинська область, Любомильський район",51.188238,23.812087,,2026-06-18 21:00:21,2026-06-18T18:00:21Z,1599,Кількість легкових авто перед ППр: Пропуск легкових автомобілів тимчасово не здійснюється <br> Швидкість оформлення легкових авто: 58 авто/год <br> Кількість вантажних авто перед ППр: 2071
4,2026-06-18T18:27:00Z,hrebenne,Hrebenne,Рава-Руська автомобільний,699,15,67,green,відкритий,0,0,"пасажирський, вантажний, пасажирські автобуси, легкові автомобілі, пішохідний (пропуск пішоходів не здійснюється))","міжнародний, цілодобовий","Львівська область, Жовківський район",50.274425,23.588896,,2026-06-18 20:49:07,2026-06-18T17:49:07Z,2273,Кількість легкових авто перед ППр: 15 <br> Швидкість оформлення легкових авто: 67 авто/год <br> Кількість вантажних авто перед ППр: 699
5,2026-06-18T18:27:00Z,korczowa,Korczowa,Краківець - Корчова,782,65,73,blue,відкритий,0,0,"пасажирський, вантажний (пропуск пішоходів не здійснюється)","міжнародний, цілодобовий","Львівська область, Яворівський район",49.954428,23.116649,,2026-06-18 20:50:44,2026-06-18T17:50:44Z,2176,Кількість легкових авто перед ППр: 65 <br> Швидкість оформлення легкових авто: 73 авто/год <br> Кількість вантажних авто перед ППр: 782
7,2026-06-18T18:27:00Z,kroscienko,Krościenko,Смільниця - Кросьценко,0,1,41,green,відкритий,0,0,"пасажирський, вантажний до 9,5 т, пасажирські автобуси, легкові автомобілі, пішохідний (пропуск пішоходів не здійснюється)","міжнародний, цілодобовий",Львівська область/Старосамбірський,49.481184,22.701526,,2026-06-18 20:50:02,2026-06-18T17:50:02Z,2218,Кількість легкових авто перед ППр: 1 <br> Швидкість оформлення легкових авто: 41 авто/год <br> Кількість вантажних авто перед ППр: 0
9,2026-06-18T18:27:00Z,malhowice,Małhowice,Нижанковичі-Мальховіце,0,1,21,green,відкритий,0,0,"кордон не можуть перетинати пусті цистерни, які призначені для перевезення небезпечних вантажів, у тому числі ПММ (пропуск пішоходів не здійснюється)","місце пропуску вантажних т/з масою понад 7,5 т, без вантажу",Львівська область,49.694185,22.817063,,2026-06-18 20:50:21,2026-06-18T17:50:21Z,2199,Кількість легкових авто перед ППр: 1 <br> Швидкість оформлення легкових авто: 21 авто/год <br> Кількість вантажних авто перед ППр: 0
6,2026-06-18T18:27:00Z,medyka,Medyka,Шегині - Медика,918,35,68,blue,відкритий,0,0,"пасажирський, вантажний, пасажирські автобуси, легкові автомобілі, пішохідний (пропуск пішоходів не здійснюється)","міжнародний, цілодобовий","Львівська область, Мостиський район",49.799853,22.950834,,2026-06-18 20:49:53,2026-06-18T17:49:53Z,2227,Кількість легкових авто перед ППр: 35 <br> Швидкість оформлення легкових авто: 68 авто/год <br> Кількість вантажних авто перед ППр: 918
2,2026-06-18T18:27:00Z,zosin,Zosin,Устилуг - Зосін,103,10,40,blue,відкритий,0,0,"пасажирський, вантажний до 7.5 т (з 13.06.2022 по 12.12.2022) (пропуск пішоходів не здійснюється)","міжнародний, цілодобовий",Волинська область,50.856037,24.143464,,2026-06-18 21:00:00,2026-06-18T18:00:00Z,1620,Кількість легкових авто перед ППр: 10 <br> Швидкість оформлення легкових авто: 40 авто/год <br> Кількість вантажних авто перед ППр: 103
