id,crossing_id,crossing_label,month,vehicle_type,direction,registration,count,joint_reported_with,source_resource_id,source_dataset,fetched_at
46,dorohusk,Dorohusk – Jagodzin,2026-02,total,do_RP,all,17275,,1908844,2708,2026-06-28T10:11:01Z
45,dorohusk,Dorohusk – Jagodzin,2026-02,total,z_RP,all,18262,,1908844,2708,2026-06-28T10:11:01Z
48,dorohusk,Dorohusk – Jagodzin,2026-02,truck,do_RP,all,15960,,1908844,2708,2026-06-28T10:11:01Z
47,dorohusk,Dorohusk – Jagodzin,2026-02,truck,z_RP,all,16988,,1908844,2708,2026-06-28T10:11:01Z
50,hrebenne,Hrebenne – Rawa Ruska,2026-02,total,do_RP,all,18111,,1908844,2708,2026-06-28T10:11:01Z
49,hrebenne,Hrebenne – Rawa Ruska,2026-02,total,z_RP,all,21081,,1908844,2708,2026-06-28T10:11:01Z
52,hrebenne,Hrebenne – Rawa Ruska,2026-02,truck,do_RP,all,6026,,1908844,2708,2026-06-28T10:11:01Z
51,hrebenne,Hrebenne – Rawa Ruska,2026-02,truck,z_RP,all,8001,,1908844,2708,2026-06-28T10:11:01Z
54,korczowa,Korczowa – Krakowiec,2026-02,total,do_RP,all,27330,,1908844,2708,2026-06-28T10:11:01Z
53,korczowa,Korczowa – Krakowiec,2026-02,total,z_RP,all,32856,,1908844,2708,2026-06-28T10:11:01Z
56,korczowa,Korczowa – Krakowiec,2026-02,truck,do_RP,all,7846,,1908844,2708,2026-06-28T10:11:01Z
55,korczowa,Korczowa – Krakowiec,2026-02,truck,z_RP,all,10035,,1908844,2708,2026-06-28T10:11:01Z
58,kroscienko,Krościenko – Smolnica,2026-02,total,do_RP,all,5230,,1908844,2708,2026-06-28T10:11:01Z
57,kroscienko,Krościenko – Smolnica,2026-02,total,z_RP,all,5052,,1908844,2708,2026-06-28T10:11:01Z
60,kroscienko,Krościenko – Smolnica,2026-02,truck,do_RP,all,624,,1908844,2708,2026-06-28T10:11:01Z
59,kroscienko,Krościenko – Smolnica,2026-02,truck,z_RP,all,725,,1908844,2708,2026-06-28T10:11:01Z
62,malhowice,Malhowice – Niżankowice *),2026-02,total,do_RP,all,3421,,1908844,2708,2026-06-28T10:11:01Z
61,malhowice,Malhowice – Niżankowice *),2026-02,total,z_RP,all,2685,,1908844,2708,2026-06-28T10:11:01Z
64,malhowice,Malhowice – Niżankowice *),2026-02,truck,do_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
63,malhowice,Malhowice – Niżankowice *),2026-02,truck,z_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
66,medyka,Medyka – Szeginie,2026-02,total,do_RP,all,24541,,1908844,2708,2026-06-28T10:11:01Z
65,medyka,Medyka – Szeginie,2026-02,total,z_RP,all,27918,,1908844,2708,2026-06-28T10:11:01Z
68,medyka,Medyka – Szeginie,2026-02,truck,do_RP,all,5075,,1908844,2708,2026-06-28T10:11:01Z
67,medyka,Medyka – Szeginie,2026-02,truck,z_RP,all,5393,,1908844,2708,2026-06-28T10:11:01Z
70,zosin,Zosin – Ustiług,2026-02,total,do_RP,all,11739,,1908844,2708,2026-06-28T10:11:01Z
69,zosin,Zosin – Ustiług,2026-02,total,z_RP,all,12301,,1908844,2708,2026-06-28T10:11:01Z
72,zosin,Zosin – Ustiług,2026-02,truck,do_RP,all,3921,,1908844,2708,2026-06-28T10:11:01Z
71,zosin,Zosin – Ustiług,2026-02,truck,z_RP,all,3809,,1908844,2708,2026-06-28T10:11:01Z
74,budomierz,Budomierz – Hruszew,2026-03,total,do_RP,all,10146,,1908844,2708,2026-06-28T10:11:01Z
73,budomierz,Budomierz – Hruszew,2026-03,total,z_RP,all,9867,,1908844,2708,2026-06-28T10:11:01Z
76,budomierz,Budomierz – Hruszew,2026-03,truck,do_RP,all,1120,,1908844,2708,2026-06-28T10:11:01Z
75,budomierz,Budomierz – Hruszew,2026-03,truck,z_RP,all,2265,,1908844,2708,2026-06-28T10:11:01Z
78,dolhobyczow,Dołhobyczów – Uhrynów,2026-03,total,do_RP,all,14250,,1908844,2708,2026-06-28T10:11:01Z
77,dolhobyczow,Dołhobyczów – Uhrynów,2026-03,total,z_RP,all,10579,,1908844,2708,2026-06-28T10:11:01Z
80,dolhobyczow,Dołhobyczów – Uhrynów,2026-03,truck,do_RP,all,5657,,1908844,2708,2026-06-28T10:11:01Z
79,dolhobyczow,Dołhobyczów – Uhrynów,2026-03,truck,z_RP,all,4222,,1908844,2708,2026-06-28T10:11:01Z
82,dorohusk,Dorohusk – Jagodzin,2026-03,total,do_RP,all,19491,,1908844,2708,2026-06-28T10:11:01Z
81,dorohusk,Dorohusk – Jagodzin,2026-03,total,z_RP,all,20968,,1908844,2708,2026-06-28T10:11:01Z
84,dorohusk,Dorohusk – Jagodzin,2026-03,truck,do_RP,all,17985,,1908844,2708,2026-06-28T10:11:01Z
83,dorohusk,Dorohusk – Jagodzin,2026-03,truck,z_RP,all,19443,,1908844,2708,2026-06-28T10:11:01Z
86,hrebenne,Hrebenne – Rawa Ruska,2026-03,total,do_RP,all,23217,,1908844,2708,2026-06-28T10:11:01Z
85,hrebenne,Hrebenne – Rawa Ruska,2026-03,total,z_RP,all,26679,,1908844,2708,2026-06-28T10:11:01Z
88,hrebenne,Hrebenne – Rawa Ruska,2026-03,truck,do_RP,all,7440,,1908844,2708,2026-06-28T10:11:01Z
87,hrebenne,Hrebenne – Rawa Ruska,2026-03,truck,z_RP,all,9812,,1908844,2708,2026-06-28T10:11:01Z
90,korczowa,Korczowa – Krakowiec,2026-03,total,do_RP,all,32609,,1908844,2708,2026-06-28T10:11:01Z
89,korczowa,Korczowa – Krakowiec,2026-03,total,z_RP,all,40669,,1908844,2708,2026-06-28T10:11:01Z
92,korczowa,Korczowa – Krakowiec,2026-03,truck,do_RP,all,9327,,1908844,2708,2026-06-28T10:11:01Z
91,korczowa,Korczowa – Krakowiec,2026-03,truck,z_RP,all,11874,,1908844,2708,2026-06-28T10:11:01Z
94,kroscienko,Krościenko – Smolnica,2026-03,total,do_RP,all,6733,,1908844,2708,2026-06-28T10:11:01Z
93,kroscienko,Krościenko – Smolnica,2026-03,total,z_RP,all,6400,,1908844,2708,2026-06-28T10:11:01Z
96,kroscienko,Krościenko – Smolnica,2026-03,truck,do_RP,all,845,,1908844,2708,2026-06-28T10:11:01Z
95,kroscienko,Krościenko – Smolnica,2026-03,truck,z_RP,all,899,,1908844,2708,2026-06-28T10:11:01Z
98,malhowice,Malhowice – Niżankowice *),2026-03,total,do_RP,all,5037,,1908844,2708,2026-06-28T10:11:01Z
97,malhowice,Malhowice – Niżankowice *),2026-03,total,z_RP,all,4386,,1908844,2708,2026-06-28T10:11:01Z
100,malhowice,Malhowice – Niżankowice *),2026-03,truck,do_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
99,malhowice,Malhowice – Niżankowice *),2026-03,truck,z_RP,all,0,,1908844,2708,2026-06-28T10:11:01Z
102,medyka,Medyka – Szeginie,2026-03,total,do_RP,all,29766,,1908844,2708,2026-06-28T10:11:01Z
101,medyka,Medyka – Szeginie,2026-03,total,z_RP,all,34718,,1908844,2708,2026-06-28T10:11:01Z
104,medyka,Medyka – Szeginie,2026-03,truck,do_RP,all,5701,,1908844,2708,2026-06-28T10:11:01Z
103,medyka,Medyka – Szeginie,2026-03,truck,z_RP,all,6582,,1908844,2708,2026-06-28T10:11:01Z
106,zosin,Zosin – Ustiług,2026-03,total,do_RP,all,14534,,1908844,2708,2026-06-28T10:11:01Z
105,zosin,Zosin – Ustiług,2026-03,total,z_RP,all,15846,,1908844,2708,2026-06-28T10:11:01Z
108,zosin,Zosin – Ustiług,2026-03,truck,do_RP,all,4977,,1908844,2708,2026-06-28T10:11:01Z
