id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
7012,2026-09-14T04:17:00Z,budomierz,Budomierz,,,,,,,2026-9-14,4
7010,2026-09-14T04:17:00Z,dolhobyczow,Dołhobyczów,180,,0,,0,,2026-9-14,4
7008,2026-09-14T04:17:00Z,dorohusk,Dorohusk,1140,,,,0,,2026-9-14,4
7011,2026-09-14T04:17:00Z,hrebenne,Hrebenne,300,,0,,0,,2026-9-14,4
7013,2026-09-14T04:17:00Z,korczowa,Korczowa,480,,0,,120,,2026-9-14,4
7016,2026-09-14T04:17:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-14,4
7015,2026-09-14T04:17:00Z,malhowice,Małhowice,,,0,,0,,2026-9-14,4
7014,2026-09-14T04:17:00Z,medyka,Medyka,720,,0,,0,,2026-9-14,4
7009,2026-09-14T04:17:00Z,zosin,Zosin,,,,,,,2026-9-14,4
7021,2026-09-14T12:19:00Z,budomierz,Budomierz,0,,0,,0,,2026-9-14,12
7019,2026-09-14T12:19:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-9-14,12
7017,2026-09-14T12:19:00Z,dorohusk,Dorohusk,480,,,,0,,2026-9-14,12
7020,2026-09-14T12:19:00Z,hrebenne,Hrebenne,0,,0,,0,,2026-9-14,12
7022,2026-09-14T12:19:00Z,korczowa,Korczowa,240,,0,,0,,2026-9-14,12
7025,2026-09-14T12:19:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-14,12
7024,2026-09-14T12:19:00Z,malhowice,Małhowice,,,0,,0,,2026-9-14,12
7023,2026-09-14T12:19:00Z,medyka,Medyka,540,,0,,60,,2026-9-14,12
7018,2026-09-14T12:19:00Z,zosin,Zosin,0,,0,,0,,2026-9-14,12
7030,2026-09-14T19:46:00Z,budomierz,Budomierz,60,,0,,0,,2026-9-14,19
7028,2026-09-14T19:46:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-9-14,19
7026,2026-09-14T19:46:00Z,dorohusk,Dorohusk,540,,,,0,,2026-9-14,19
7029,2026-09-14T19:46:00Z,hrebenne,Hrebenne,60,,0,,0,,2026-9-14,19
7031,2026-09-14T19:46:00Z,korczowa,Korczowa,240,,60,,0,,2026-9-14,19
7034,2026-09-14T19:46:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-14,19
7033,2026-09-14T19:46:00Z,malhowice,Małhowice,,,0,,0,,2026-9-14,19
7032,2026-09-14T19:46:00Z,medyka,Medyka,420,,60,,60,,2026-9-14,19
7027,2026-09-14T19:46:00Z,zosin,Zosin,0,,0,,0,,2026-9-14,19
