id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
6655,2026-09-05T03:49:00Z,budomierz,Budomierz,120,,0,,0,,2026-9-5,3
6653,2026-09-05T03:49:00Z,dolhobyczow,Dołhobyczów,240,,0,,0,,2026-9-5,3
6651,2026-09-05T03:49:00Z,dorohusk,Dorohusk,720,,,,180,,2026-9-5,3
6654,2026-09-05T03:49:00Z,hrebenne,Hrebenne,960,,0,,60,,2026-9-5,3
6656,2026-09-05T03:49:00Z,korczowa,Korczowa,600,,0,,60,,2026-9-5,3
6659,2026-09-05T03:49:00Z,kroscienko,Krościenko,120,,0,,0,,2026-9-5,3
6658,2026-09-05T03:49:00Z,malhowice,Małhowice,,,0,,0,,2026-9-5,3
6657,2026-09-05T03:49:00Z,medyka,Medyka,900,,0,,60,,2026-9-5,3
6652,2026-09-05T03:49:00Z,zosin,Zosin,0,,0,,0,,2026-9-5,3
6664,2026-09-05T10:18:00Z,budomierz,Budomierz,60,,0,,0,,2026-9-5,10
6662,2026-09-05T10:18:00Z,dolhobyczow,Dołhobyczów,360,,0,,0,,2026-9-5,10
6660,2026-09-05T10:18:00Z,dorohusk,Dorohusk,960,,,,0,,2026-9-5,10
6663,2026-09-05T10:18:00Z,hrebenne,Hrebenne,780,,0,,0,,2026-9-5,10
6665,2026-09-05T10:18:00Z,korczowa,Korczowa,780,,0,,0,,2026-9-5,10
6668,2026-09-05T10:18:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-5,10
6667,2026-09-05T10:18:00Z,malhowice,Małhowice,,,0,,0,,2026-9-5,10
6666,2026-09-05T10:18:00Z,medyka,Medyka,900,,0,,0,,2026-9-5,10
6661,2026-09-05T10:18:00Z,zosin,Zosin,0,,0,,0,,2026-9-5,10
6673,2026-09-05T14:54:00Z,budomierz,Budomierz,30,,0,,0,,2026-9-5,14
6671,2026-09-05T14:54:00Z,dolhobyczow,Dołhobyczów,360,,0,,0,,2026-9-5,14
6669,2026-09-05T14:54:00Z,dorohusk,Dorohusk,840,,,,0,,2026-9-5,14
6672,2026-09-05T14:54:00Z,hrebenne,Hrebenne,840,,0,,0,,2026-9-5,14
6674,2026-09-05T14:54:00Z,korczowa,Korczowa,840,,0,,0,,2026-9-5,14
6677,2026-09-05T14:54:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-5,14
6676,2026-09-05T14:54:00Z,malhowice,Małhowice,,,0,,0,,2026-9-5,14
6675,2026-09-05T14:54:00Z,medyka,Medyka,1020,,0,,0,,2026-9-5,14
6670,2026-09-05T14:54:00Z,zosin,Zosin,60,,60,,0,,2026-9-5,14
6682,2026-09-05T17:13:00Z,budomierz,Budomierz,60,,60,,0,,2026-9-5,17
6680,2026-09-05T17:13:00Z,dolhobyczow,Dołhobyczów,300,,0,,0,,2026-9-5,17
6678,2026-09-05T17:13:00Z,dorohusk,Dorohusk,720,,,,0,,2026-9-5,17
6681,2026-09-05T17:13:00Z,hrebenne,Hrebenne,1020,,0,,0,,2026-9-5,17
6683,2026-09-05T17:13:00Z,korczowa,Korczowa,660,,60,,0,,2026-9-5,17
6686,2026-09-05T17:13:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-5,17
6685,2026-09-05T17:13:00Z,malhowice,Małhowice,,,0,,0,,2026-9-5,17
6684,2026-09-05T17:13:00Z,medyka,Medyka,1080,,0,,0,,2026-9-5,17
6679,2026-09-05T17:13:00Z,zosin,Zosin,60,,60,,0,,2026-9-5,17
6691,2026-09-05T20:08:00Z,budomierz,Budomierz,30,,60,,0,,2026-9-5,20
6689,2026-09-05T20:08:00Z,dolhobyczow,Dołhobyczów,360,,0,,0,,2026-9-5,20
6687,2026-09-05T20:08:00Z,dorohusk,Dorohusk,900,,,,0,,2026-9-5,20
6690,2026-09-05T20:08:00Z,hrebenne,Hrebenne,1440,,0,,0,,2026-9-5,20
6692,2026-09-05T20:08:00Z,korczowa,Korczowa,780,,60,,0,,2026-9-5,20
6695,2026-09-05T20:08:00Z,kroscienko,Krościenko,0,,0,,0,,2026-9-5,20
6694,2026-09-05T20:08:00Z,malhowice,Małhowice,,,0,,0,,2026-9-5,20
6693,2026-09-05T20:08:00Z,medyka,Medyka,960,,0,,0,,2026-9-5,20
6688,2026-09-05T20:08:00Z,zosin,Zosin,120,,60,,0,,2026-9-5,20
