id,scraped_at,crossing_id,crossing_name,trucks_exit_min,trucks_entry_min,cars_exit_min,cars_entry_min,buses_exit_min,buses_entry_min,data_timestamp,source_hour
873,2026-06-22T02:02:00Z,budomierz,Budomierz,0,,0,,0,,2026-6-22,2
871,2026-06-22T02:02:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-6-22,2
869,2026-06-22T02:02:00Z,dorohusk,Dorohusk,1200,,,,,,2026-6-22,2
872,2026-06-22T02:02:00Z,hrebenne,Hrebenne,600,,0,,180,,2026-6-22,2
874,2026-06-22T02:02:00Z,korczowa,Korczowa,0,,60,,300,,2026-6-22,2
877,2026-06-22T02:02:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-22,2
876,2026-06-22T02:02:00Z,malhowice,Małhowice,,,0,,0,,2026-6-22,2
875,2026-06-22T02:02:00Z,medyka,Medyka,480,,60,,0,,2026-6-22,2
870,2026-06-22T02:02:00Z,zosin,Zosin,0,,0,,60,,2026-6-22,2
882,2026-06-22T05:00:00Z,budomierz,Budomierz,0,,0,,0,,2026-6-22,5
891,2026-06-22T05:00:00Z,budomierz,Budomierz,0,,0,,0,,2026-6-22,5
880,2026-06-22T05:00:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-6-22,5
889,2026-06-22T05:00:00Z,dolhobyczow,Dołhobyczów,0,,0,,0,,2026-6-22,5
878,2026-06-22T05:00:00Z,dorohusk,Dorohusk,1620,,,,120,,2026-6-22,5
887,2026-06-22T05:00:00Z,dorohusk,Dorohusk,1620,,,,120,,2026-6-22,5
881,2026-06-22T05:00:00Z,hrebenne,Hrebenne,420,,0,,0,,2026-6-22,5
890,2026-06-22T05:00:00Z,hrebenne,Hrebenne,420,,0,,0,,2026-6-22,5
883,2026-06-22T05:00:00Z,korczowa,Korczowa,0,,120,,180,,2026-6-22,5
892,2026-06-22T05:00:00Z,korczowa,Korczowa,0,,120,,180,,2026-6-22,5
886,2026-06-22T05:00:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-22,5
895,2026-06-22T05:00:00Z,kroscienko,Krościenko,0,,0,,0,,2026-6-22,5
885,2026-06-22T05:00:00Z,malhowice,Małhowice,,,0,,30,,2026-6-22,5
894,2026-06-22T05:00:00Z,malhowice,Małhowice,,,0,,30,,2026-6-22,5
884,2026-06-22T05:00:00Z,medyka,Medyka,420,,60,,120,,2026-6-22,5
893,2026-06-22T05:00:00Z,medyka,Medyka,420,,60,,120,,2026-6-22,5
879,2026-06-22T05:00:00Z,zosin,Zosin,0,,0,,0,,2026-6-22,5
888,2026-06-22T05:00:00Z,zosin,Zosin,0,,0,,0,,2026-6-22,5
